NAL,NS,SEMESTRE,NCURSOSMATRICULADOS,NCREDITOSMATRICULADOS,NCREDITOSAPROBADOS,NCREDITOSDESAPROBADOS,PROMEDIOPORCICLO
39,39,2010-2,6,21,14,7,12
39,39,2010-C,2,7,0,7,0
39,39,2011-1,6,21,11,10,10
39,39,2011-2,5,17,14,3,13
39,39,2011-3,6,21,14,7,11
39,39,2012-1,6,21,14,7,13
39,39,2012-2,6,22,18,4,14
39,39,2013-1,6,22,22,0,15
39,39,2013-2,6,22,18,4,15
39,39,2013-3,6,22,22,0,14
39,39,2014-1,6,22,18,4,15
39,39,2014-2,6,22,18,4,15
39,39,2015-1,8,26,26,0,15
40,40,2010-1,6,21,3,18,4
41,41,2010-1,7,22,18,4,14
41,41,2010-2,6,22,14,8,13
41,41,2010-C,3,11,11,0,14
41,41,2011-1,6,21,13,8,13
41,41,2011-2,6,22,11,11,9
41,41,2011-3,6,21,4,17,11
41,41,2012-1,6,22,10,12,11
41,41,2013-1,7,22,6,16,12
41,41,2013-2,6,20,8,12,10
41,41,2013-3,6,22,14,8,12
41,41,2014-1,7,22,14,8,12
41,41,2014-2,6,21,3,18,10
41,41,2015-1,6,22,11,11,12
41,41,2015-2,7,21,6,15,11
42,42,2010-1,7,22,22,0,15
42,42,2010-2,7,22,22,0,15
42,42,2011-1,4,14,14,0,15
42,42,2011-2,4,12,12,0,16
42,42,2011-3,4,14,10,4,14
42,42,2012-1,4,15,15,0,16
42,42,2012-2,4,15,15,0,17
42,42,2013-1,4,15,15,0,15
42,42,2013-2,4,14,11,3,15
42,42,2013-3,4,15,11,4,13
43,43,2010-1,6,21,17,4,13
43,43,2010-2,6,22,11,11,11
43,43,2010-C,3,12,4,8,10
43,43,2011-1,6,21,10,11,12
43,43,2011-2,7,22,13,9,12
43,43,2011-3,7,22,10,12,9
43,43,2012-1,6,22,15,7,14
43,43,2012-2,6,22,19,3,14
43,43,2013-1,6,22,6,16,11
43,43,2013-2,5,19,0,19,4
43,43,2013-3,5,20,4,16,7
43,43,2014-1,6,22,4,18,6
43,43,2014-2,5,20,0,20,1
43,43,2015-1,6,22,0,22,1
43,43,2015-2,5,16,0,16,0
44,44,2010-1,6,21,9,12,10
44,44,2010-2,6,22,7,15,8
44,44,2010-C,3,11,11,0,14
44,44,2011-1,7,22,4,18,11
44,44,2011-2,7,22,12,10,12
44,44,2011-3,6,20,15,5,14
44,44,2012-1,7,20,14,6,13
44,44,2012-2,8,22,6,16,9
44,44,2013-1,6,21,10,11,11
44,44,2013-2,6,19,10,9,10
44,44,2015-1,6,19,10,9,14
44,44,2015-2,8,21,20,1,14
45,45,2010-1,7,22,4,18,4
45,45,2013-1,7,21,5,16,10
45,45,2013-2,6,21,0,21,2
45,45,2013-3,5,17,17,0,15
45,45,2014-1,6,19,19,0,15
45,45,2014-2,5,18,14,4,15
45,45,2015-1,5,20,20,0,16
45,45,2015-2,4,15,15,0,16
46,46,2010-1,6,21,21,0,16
46,46,2010-2,6,19,19,0,17
46,46,2010-C,3,12,12,0,17
46,46,2011-2,5,20,20,0,16
46,46,2011-3,6,22,18,4,16
46,46,2012-1,6,20,20,0,18
46,46,2012-2,3,10,10,0,18
46,46,2013-1,3,11,11,0,17
47,47,2010-1,6,21,18,3,13
47,47,2010-2,4,13,0,13,0
48,48,2010-1,7,22,20,2,14
48,48,2010-2,7,22,15,7,14
48,48,2010-C,2,6,6,0,16
48,48,2011-1,7,22,22,0,16
48,48,2011-2,6,21,21,0,16
48,48,2011-3,6,22,22,0,17
48,48,2012-1,6,22,19,3,14
48,48,2012-2,6,22,18,4,15
48,48,2013-1,6,21,17,4,14
48,48,2013-2,5,19,19,0,16
48,48,2013-3,5,20,16,4,14
48,48,2014-1,7,22,18,4,14
48,48,2014-2,1,4,0,4,6
48,48,2015-1,1,4,4,0,14
49,49,2010-1,7,22,22,0,15
49,49,2010-2,7,22,19,3,15
49,49,2011-1,7,22,22,0,15
49,49,2011-2,6,21,18,3,15
49,49,2011-3,6,21,21,0,16
49,49,2012-1,5,19,19,0,15
49,49,2012-2,6,22,22,0,16
49,49,2013-1,6,22,19,3,15
49,49,2013-2,3,11,11,0,16
49,49,2013-3,5,18,14,4,14
49,49,2014-1,6,22,19,3,14
49,49,2014-2,4,11,11,0,17
51,51,2010-1,7,22,22,0,18
51,51,2010-2,5,16,16,0,17
51,51,2010-C,3,9,9,0,15
51,51,2011-1,7,23,23,0,17
51,51,2011-2,6,22,22,0,17
51,51,2011-3,7,26,26,0,17
51,51,2012-1,6,22,22,0,16
51,51,2012-2,6,21,21,0,16
51,51,2013-1,5,19,15,4,13
51,51,2013-2,4,16,16,0,16
51,51,2013-3,5,15,15,0,16
51,51,2014-1,3,10,10,0,17
52,52,2010-1,7,22,18,4,15
52,52,2010-2,6,19,16,3,15
52,52,2010-C,3,10,10,0,16
52,52,2011-1,6,21,17,4,13
52,52,2011-2,6,21,21,0,17
52,52,2011-3,6,21,18,3,16
52,52,2012-1,6,22,19,3,16
52,52,2012-2,6,20,16,4,15
52,52,2013-1,6,22,22,0,15
52,52,2013-2,6,22,19,3,16
52,52,2013-3,6,22,22,0,15
52,52,2014-1,6,19,19,0,17
53,53,2010-1,7,22,22,0,15
53,53,2010-2,7,22,18,4,11
53,53,2010-C,3,11,11,0,15
53,53,2011-1,6,19,19,0,16
53,53,2011-2,6,22,19,3,14
53,53,2011-3,6,20,20,0,16
53,53,2012-1,6,22,22,0,16
53,53,2012-2,6,22,22,0,16
53,53,2013-1,4,15,15,0,17
53,53,2013-2,6,22,22,0,16
53,53,2013-3,6,20,20,0,16
53,53,2014-1,2,7,7,0,18
54,54,2010-1,7,22,22,0,15
54,54,2010-2,7,22,18,4,11
54,54,2010-C,3,11,11,0,15
54,54,2011-1,6,19,19,0,16
54,54,2011-2,6,22,19,3,14
54,54,2011-3,6,20,20,0,16
54,54,2012-1,6,22,22,0,16
54,54,2012-2,6,22,22,0,16
54,54,2013-1,4,15,15,0,17
54,54,2013-2,6,22,22,0,16
54,54,2013-3,6,20,20,0,16
54,54,2014-1,2,7,7,0,19
55,55,2010-1,7,22,16,6,14
55,55,2010-2,7,21,17,4,14
55,55,2010-C,3,10,10,0,14
55,55,2011-1,6,20,17,3,13
55,55,2011-2,6,21,10,11,11
55,55,2011-3,6,21,18,3,13
55,55,2012-1,5,19,15,4,15
55,55,2012-2,6,23,19,4,14
55,55,2013-1,8,30,30,0,16
55,55,2013-2,4,15,15,0,14
55,55,2013-3,6,21,21,0,15
55,55,2014-1,5,16,16,0,16
55,55,2015-2,2,6,6,0,16
56,56,2010-1,7,22,22,0,16
56,56,2010-2,7,22,22,0,15
56,56,2011-1,7,22,22,0,15
56,56,2011-2,6,22,18,4,15
56,56,2011-3,5,19,19,0,16
56,56,2012-1,5,19,19,0,17
56,56,2012-2,6,21,21,0,16
56,56,2013-1,6,21,21,0,15
56,56,2013-2,4,15,12,3,15
56,56,2013-3,6,22,22,0,16
