IdAlumno,IdSocial,NOMBRESEDE,NOMBREESCUELA,UBIGEONACIMIENTO,EDAD,DIRECCION,ESTADOCIVIL,DEUDA,MODALIDADINGRESO,PUNTAJEINGRESO,TIPOCOLEGIO,LUGARCOLEGIO,ANOEGRESOCOLEGIO,SEXO,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
89,89,0,3,0,0,1,0,1,0,2,0,0,2,0,1,0,1,1,1,5,5,2,1,2,1,1,3,2
90,90,0,3,0,0,5,2,0,0,2,0,0,2,0,0,2,1,1,1,3,0,2,1,2,1,1,0,2
91,91,0,3,0,0,9,2,1,1,2,1,0,2,1,0,2,1,1,1,4,4,2,0,2,0,1,3,2
92,92,0,3,0,0,0,2,1,0,2,0,0,2,0,0,2,1,1,1,0,0,2,0,2,0,1,2,2
93,93,0,3,0,0,6,2,1,0,2,0,0,2,0,0,0,1,1,1,4,4,2,1,2,1,1,3,2
94,94,0,3,0,0,9,2,1,0,2,0,0,2,1,1,2,1,1,1,5,5,2,1,2,1,1,3,2
95,95,0,0,0,1,5,2,3,0,1,1,0,1,1,0,0,0,1,1,1,4,0,2,2,0,1,0,1
96,96,0,0,0,2,9,2,1,0,1,1,0,0,0,0,2,1,1,1,2,2,2,0,2,1,1,3,1
97,97,0,0,0,2,1,0,2,0,1,1,0,0,0,0,2,0,1,0,1,0,0,2,2,0,1,3,1
98,98,0,0,0,1,0,2,1,0,0,1,0,1,1,1,0,1,1,1,0,3,2,0,1,2,1,3,2
99,99,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,3,3,2,0,2,1,1,0,2
100,100,0,0,0,0,1,0,2,0,1,1,0,2,0,0,2,1,1,1,4,4,2,0,2,0,1,3,2
101,101,0,0,0,1,7,2,2,0,1,0,0,2,1,0,2,1,1,1,3,3,2,1,2,1,1,3,2
102,102,0,0,0,2,0,2,1,0,1,1,0,0,1,0,2,1,1,1,0,0,2,0,1,2,1,3,2
103,103,0,0,0,1,9,2,1,0,1,0,0,1,1,0,2,1,0,1,5,1,2,1,0,2,1,0,2
104,104,0,0,0,1,9,2,1,0,1,1,0,1,0,0,2,1,1,1,5,0,2,1,1,2,1,3,2
105,105,0,0,0,2,9,2,1,0,1,1,0,0,0,0,2,1,1,1,4,4,2,1,2,0,1,0,2
106,106,0,0,0,0,0,2,1,0,0,0,0,1,1,0,2,1,1,1,4,5,2,0,1,2,1,0,2
107,107,0,0,0,0,9,2,1,0,1,1,0,2,0,1,0,0,1,1,1,3,0,2,2,1,1,0,2
108,108,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,1,1,1,3,3,2,1,2,2,1,1,2
109,109,0,0,0,1,0,2,1,0,1,0,0,1,1,0,2,1,1,1,5,4,2,0,2,0,1,3,1
110,110,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,4,2,0,2,0,1,3,2
111,111,0,0,0,2,0,2,1,0,0,1,0,0,1,1,0,1,1,1,4,3,2,0,1,2,0,1,2
112,112,0,0,0,2,9,2,1,0,1,0,0,0,1,0,0,1,1,0,4,0,2,0,1,2,1,3,1
113,113,0,0,0,1,9,2,1,0,0,1,0,1,0,0,2,1,1,1,0,5,2,1,2,1,1,3,2
114,114,0,0,0,1,1,0,1,0,1,1,0,1,1,0,2,1,1,0,5,5,2,1,2,1,1,3,2
115,115,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,1,1,1,0,3,2,1,1,2,1,0,1
116,116,0,0,0,2,5,2,1,0,0,0,0,0,0,0,2,0,1,1,1,4,0,2,2,0,1,0,1
117,117,0,0,0,1,0,2,2,0,0,1,0,1,0,0,2,1,1,1,3,3,2,0,2,1,1,3,2
118,118,0,0,0,1,9,2,1,1,1,1,0,1,1,0,2,1,1,1,3,3,2,1,2,1,1,3,2
119,119,0,1,0,2,7,2,4,0,0,0,0,0,1,0,2,1,1,1,0,0,2,0,2,1,1,3,2
120,120,0,1,0,1,6,2,1,1,1,0,0,1,1,0,2,1,1,1,0,0,2,0,2,1,1,3,2
121,121,0,1,0,0,9,2,1,0,0,0,0,2,0,0,2,1,1,1,4,0,2,1,2,1,1,3,2
122,122,0,1,0,2,9,2,2,0,0,0,0,0,0,0,2,1,1,1,4,4,2,0,1,2,1,0,1
123,123,0,1,0,1,0,2,1,0,0,0,0,2,1,0,2,1,1,1,4,5,2,1,2,1,1,3,2
124,124,0,1,0,2,1,0,2,1,1,1,0,0,0,0,2,1,1,1,3,3,2,1,2,0,1,3,2
